q,side,rank,ticker,net_M,buy_M,sell_M
2024Q1,매수,1,TSLA,835,4060,3225
2024Q1,매수,2,NVDA,811,4911,4100
2024Q1,매수,3,MSFT,505,1399,894
2024Q1,매수,4,TLT(JPYh),280,380,100
2024Q1,매수,5,MSTR,236,652,415
2024Q1,매수,6,TSLT,218,734,516
2024Q1,매수,7,TSM,166,357,191
2024Q1,매수,8,INTC,156,500,344
2024Q1,매수,9,BITX,155,457,303
2024Q1,매수,10,TMF,153,888,735
2024Q1,매도,1,TQQQ,-509,1215,1724
2024Q1,매도,2,AAPL,-274,878,1152
2024Q1,매도,3,AMZN,-114,431,545
2024Q1,매도,4,SOXL,-102,5138,5240
2024Q1,매도,5,FNGU,-93,250,343
2024Q1,매도,6,COIN,-44,486,530
2024Q1,매도,7,GOOGL,-35,623,658
2024Q1,매도,8,META,-19,373,393
2024Q1,매도,9,SOUN,-14,329,344
2024Q1,매도,10,NFLX,-10,48,58
2024Q2,매수,1,NVDA,972,6463,5491
2024Q2,매수,2,NVDL,317,2112,1795
2024Q2,매수,3,MU,250,619,368
2024Q2,매수,4,TSLA,244,3048,2804
2024Q2,매수,5,AVGO,229,437,209
2024Q2,매수,6,VOO,164,273,109
2024Q2,매수,7,SCHD,164,358,194
2024Q2,매수,8,TLT(JPYh),128,195,67
2024Q2,매수,9,GME,115,841,726
2024Q2,매수,10,TSLL,111,812,701
2024Q2,매도,1,AAPL,-491,940,1431
2024Q2,매도,2,SOXL,-435,5426,5860
2024Q2,매도,3,TQQQ,-360,1383,1743
2024Q2,매도,4,GOOGL,-87,415,503
2024Q2,매도,5,AMZN,-73,375,449
2024Q2,매도,6,YINN,-26,211,237
2024Q2,매도,7,SMR,-12,239,251
2024Q2,매도,8,COIN,-10,166,175
2024Q2,매도,9,BOIL,-9,50,59
2024Q2,매도,10,ASML,-6,50,56
2024Q3,매수,1,SOXL,800,9375,8575
2024Q3,매수,2,QQQ,208,726,518
2024Q3,매수,3,VOO,171,364,193
2024Q3,매수,4,NVDL,160,2851,2691
2024Q3,매수,5,SPY,144,761,617
2024Q3,매수,6,SCHD,137,367,230
2024Q3,매수,7,INTC,137,640,503
2024Q3,매수,8,BITX,135,724,589
2024Q3,매수,9,SGOV,119,348,229
2024Q3,매수,10,TLT,114,735,621
2024Q3,매도,1,NVDA,-861,6673,7534
2024Q3,매도,2,TSLA,-472,5573,6044
2024Q3,매도,3,AAPL,-358,1300,1658
2024Q3,매도,4,MSFT,-173,971,1143
2024Q3,매도,5,PLTR,-94,469,563
2024Q3,매도,6,TLT(JPYh),-90,214,304
2024Q3,매도,7,MU,-83,349,432
2024Q3,매도,8,TSLT,-69,427,496
2024Q3,매도,9,GOOGL,-52,442,494
2024Q3,매도,10,LABU,-47,224,270
2024Q4,매수,1,PLTR,707,1905,1198
2024Q4,매수,2,VOO,517,756,239
2024Q4,매수,3,TSLA,485,9791,9307
2024Q4,매수,4,SCHD,402,698,296
2024Q4,매수,5,ETHU,272,771,499
2024Q4,매수,6,AVGO,265,876,611
2024Q4,매수,7,MSTU,235,1595,1359
2024Q4,매수,8,SGOV,218,613,395
2024Q4,매수,9,SPY,149,2260,2111
2024Q4,매수,10,QQQ,148,574,426
2024Q4,매도,1,NVDA,-1408,4275,5683
2024Q4,매도,2,IONQ,-668,2566,3234
2024Q4,매도,3,TQQQ,-573,1042,1615
2024Q4,매도,4,NVDL,-348,1932,2279
